Index,Address,Room Count,Size,Price,Teenus_arv,Teenustase,Tookoht_protsent,Kool_arv,Lasteaed_arv,Toidupood_arv,Toidukoht_arv,Parkimisnorm,Parkimis_koefitsent,MYRAKLASS,Longitude,Latitude,Distance
122,"Tartu, Tartu linn, Annelinn, Kaunase pst 57-6",4,76.1 m²,95 000 €,17.0,Baastase,30.45084213,2.0,6.0,7.0,8.0,85.0,0.84774579,46.17695630081301,26.773675,58.3731035,3107.1499591046127
123,"Tartu, Tartu linn, Jaamamõisa, Lehe tn 23-5",2,34.9 m²,119 900 €,8.0,Baastase,17.61379012,3.0,1.0,4.0,2.0,91.0,0.91193105,45.0,26.76194246137837,58.38255045,2337.0534390050902
124,"Tartu, Karlova, Nõva 1",2,48.6 m²,112 000 €,11.0,Baastase,62.42716081,2.0,1.0,4.0,9.0,69.0,0.6878642,40.0,26.73802173367524,58.36720755,1706.3953901484801
125,"Tartu, Tartu linn, Kesklinn, Riia tn 3-1",3,82.6 m²,174 000 €,104.0,Hea tase,85.38892806,3.0,7.0,12.0,147.0,15.0,0.14611072,55.0,26.72456342951214,58.37576895,500.7144235846852
126,"Tartu, Tartu linn, Karlova, Kastani tn 133 (Broneeritud)",3,60.3 m²,199 500 €,37.0,Baastase,75.01207162,2.0,2.0,4.0,32.0,62.0,0.62493964,55.0,26.716891855179703,58.36910575,1264.3119423011376
127,"Tartu, Tartu linn, Raadi-Kruusamäe, Kummeli tn 20",3,66.9 m²,165 000 €,4.0,-,10.50268771,0.0,1.0,2.0,1.0,100.0,1.0,40.0,26.7196761999163,58.40164425,2404.5194249679566
128,"Tartu, Tartu linn, Vaksali, Kastani 127",3,78.9 m²,125 000 €,33.0,Baastase,66.28561429,2.0,1.0,4.0,31.0,67.0,0.66857193,55.0,26.716301375,58.3695285,1228.133419134064
129,"Tartu, Tartu linn, Annelinn, Sõpruse pst 8",3,58.8 m²,109 900 €,31.0,Hea tase,55.41448572,3.0,2.0,7.0,17.0,45.0,0.44585514,50.0,26.751839050023257,58.37666545,1771.901813835026
130,"Tartu, Tartu linn, Ülejõe, Uus tn 5",3,64.7 m²,112 000 €,23.0,Hea tase,58.83536045,2.0,3.0,12.0,20.0,41.0,0.4116464,40.0,26.7370684720424,58.38248325,905.645871256035
131,"Tartu, Tartu linn, Supilinn, Oa tn 45-4",3,61.8 m²,265 000 €,5.0,Baastase,31.71987527,1.0,1.0,1.0,2.0,84.0,0.84140062,40.0,26.70974697969001,58.39082195,1401.0085051859498
132,"Tartu, Kesklinn, Jaama tn 52-4",2,62.7 m²,205 900 €,14.0,Baastase,55.04044478,2.0,2.0,8.0,8.0,72.0,0.72479778,55.0,26.73952554529616,58.384876000000006,1141.1673259187103
133,"Tartu, Tartu linn, Ropka tööstusrajoon, Alasi tn 31a",2,46.1 m²,99 900 €,8.0,Baastase,53.15423961,1.0,2.0,2.0,5.0,73.0,0.7342288,45.0,26.725332504302926,58.346938,3698.029891843555
134,"Tartu, Annelinn, Ihaste põik 22",3,69.9 m²,222 000 €,2.0,-,6.69261313,0.0,0.0,4.0,1.0,100.0,1.0,50.0,26.76319469403837,58.3665516,2830.6423622102147
135,"Tartu, Tartu linn, Annelinn, Kivilinna, Jaama 175",2,47 m²,79 900 €,16.0,Baastase,18.04424231,4.0,5.0,7.0,5.0,91.0,0.90977879,45.0,26.7653638039272,58.3789362,2524.671274114927
136,"Tartu, Tartu linn, Ülejõe, Uus 21-5",3,54.2 m²,199 000 €,22.0,Hea tase,58.28374794,2.0,1.0,13.0,16.0,42.0,0.41716252,50.0,26.739534454207323,58.3820195,1032.5164493875156
137,"Tartu, Tartu linn, Raadi-Kruusamäe, Põllu tn 8-1A",2,53.3 m²,89 000 €,4.0,-,45.72236987,0.0,1.0,2.0,2.0,100.0,1.0,46.17695630081301,26.714177727203392,58.4003755,2307.4580412501796
138,"Tartu, Tartu linn, Ropka tööstusrajoon, Ringtee 7",1,35.8 m²,96 000 €,3.0,-,20.58534017,0.0,0.0,0.0,0.0,100.0,1.0,40.0,26.71892258657492,58.3410475,4354.190263403449
139,"Tartu, Tartu linn, Jaamamõisa, Põhja pst 8",3,60.6 m²,126 790 €,15.0,Baastase,51.05529219,3.0,1.0,5.0,9.0,74.0,0.74472354,50.0,26.754712075175,58.3829995,1925.33194532209
140,"Tartu, Tartu linn, Vaksali, Kastani tn 133-2",2,47.4 m²,199 000 €,37.0,Baastase,75.01207162,2.0,2.0,4.0,32.0,62.0,0.62493964,55.0,26.716891855179703,58.36910575,1264.3119423011376
141,"Tartu, Tartu linn, Annelinn, Kaunase pst 39",1,33.7 m²,79 500 €,16.0,Baastase,35.74140689,4.0,6.0,8.0,7.0,82.0,0.82129297,40.0,26.76984585427148,58.3732217,2887.284866871067
142,"Tartu, Tartu linn, Annelinn, Kaunase pst 15",3,63 m²,115 500 €,22.0,Baastase,33.66938377,4.0,6.0,9.0,9.0,83.0,0.83165308,46.17695630081301,26.76612522193347,58.3751365,2624.9016339070613
143,"Tartu, Tartu linn, Annelinn, Anne 49",2,47 m²,79 000 €,33.0,Hea tase,51.56657079,4.0,4.0,7.0,18.0,48.0,0.48433429,45.0,26.749611462673823,58.37750045,1625.7558511663785
144,"Tartu, Tartu linn, Kesklinn, KAKS KÖÖKTUBA!, Aleksandri tn 16 (Broneeritud)",2,24 m²,68 000 €,57.0,Hea tase,63.97362497,1.0,3.0,11.0,62.0,36.0,0.36026375,50.0,26.73280347515528,58.374043,913.822732400589
145,"Tartu, Tartu linn, Ülejõe, Uus tn 13b",2,41.2 m²,115 500 €,16.0,Baastase,57.77135634,2.0,1.0,12.0,9.0,71.0,0.71114322,50.0,26.738510147557665,58.382658500000005,992.0212650866101
146,"Tartu, Ülejõe, Staadioni 3",2,56.5 m²,180 750 €,37.0,Hea tase,58.68464216,2.0,3.0,8.0,21.0,41.0,0.41315358,50.0,26.726606000000007,58.388360000000006,954.4244478621505
147,"Tartu, Tartu linn, Ropka tööstusrajoon, Vasara tn 25",1,16 m²,34 000 €,7.0,Baastase,55.8768075,1.0,2.0,2.0,4.0,72.0,0.72061596,45.0,26.725882168443498,58.347608,3625.2272288775225
148,"Tartu, Tartu linn, Annelinn, Kaunase Puiestee 13-23",2,46.7 m²,105 000 €,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.17695630081301,26.764257,58.374896,2524.174856405452
149,"Tartu, Tartu linn, Ülejõe, Pärna tn 23-1",3,47.4 m²,144 000 €,14.0,Baastase,57.64280092,3.0,1.0,11.0,10.0,71.0,0.711786,45.0,26.741552271739124,58.382257,1153.4819847200472
150,"Tartu, Tartu linn, Annelinn, Jaama tn 193-71",1,30.3 m²,67 000 €,21.0,Baastase,26.57337897,4.0,6.0,10.0,10.0,87.0,0.86713311,46.17695630081301,26.764925415048545,58.3769835,2519.7833686285926
151,"Tartu, Tartu linn, Ränilinn, Aardla 132",3,65.7 m²,120 000 €,16.0,-,45.87924863,0.0,1.0,3.0,13.0,100.0,1.0,50.0,26.680062272875816,58.352842,3914.0328732832368
152,"Tartu, Tartu linn, Raadi-Kruusamäe, Jänese tn 22-4",2,32 m²,26 500 €,10.0,Baastase,34.96384293,1.0,1.0,2.0,3.0,83.0,0.82518079,50.0,26.736904299706804,58.39041955,1433.282239163131
153,"Tartu, Tartu linn, Ropka, Ülenurme alevik, Paruni 17-5/1",3,61 m²,154 900 €,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.17695630081301,26.726845007372408,58.3106543,7739.722994016973
154,"Tartu, Tartu linn, Annelinn, Anne tn 53",3,59.4 m²,87 000 €,30.0,Hea tase,42.02213971,4.0,3.0,7.0,17.0,58.0,0.5797786,40.0,26.75473793278768,58.3763625,1944.8057101375018
155,"Tartu, Tartu linn, Veeriku, Sangla tn 25-25",3,59.9 m²,123 000 €,20.0,Baastase,47.98740366,1.0,3.0,3.0,4.0,76.0,0.76006298,46.17695630081301,26.6925015,58.374192,1861.8080748780335
156,"Tartu, Tartu linn, Supilinn, Emajõe tn 12",5,135.5 m²,269 000 €,25.0,Baastase,44.74791917,1.0,1.0,2.0,8.0,78.0,0.7762604,40.0,26.7172848700698,58.38793775,920.4282185397808
157,"Tartu, Tartu linn, Raadi-Kruusamäe, Vilja 45",4,62 m²,149 000 €,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.17695630081301,26.723092094747177,58.40035543378596,2256.6955179228303
158,"Tartu, Tartu linn, Vaksali, Kooli tn 18-3",2,41 m²,115 000 €,26.0,Baastase,55.69348701,3.0,4.0,2.0,12.0,72.0,0.72153256,46.17695630081301,26.707384647350207,58.3768359,943.6401485215529
159,"Tartu, Tartu linn, Karlova, L. Tolstoi tn 9",2,28.7 m²,85 900 €,8.0,Baastase,56.87506044,2.0,2.0,5.0,13.0,72.0,0.7156247,46.17695630081301,26.730197513039545,58.36893935,1326.846248051945
160,"Tartu, Tartu linn, Raadi-Kruusamäe, Muru tn 20",1,22 m²,67 000 €,4.0,-,10.46764837,0.0,1.0,2.0,2.0,100.0,1.0,45.0,26.716823533711263,58.3988178,2109.093543466489
161,"Tartu, Tartu linn, Jaamamõisa, Lääne tn 9-55",3,58.7 m²,92 900 €,12.0,Baastase,51.26807142,2.0,1.0,3.0,6.0,74.0,0.74365964,40.0,26.754043412574063,58.38411,1911.8138643133714
162,"Tartu, Kesklinn, Väike-Turu 5",2,49.5 m²,177 500 €,91.0,Hea tase,73.40104226,2.0,2.0,11.0,107.0,27.0,0.26598958,55.0,26.731076072567568,58.37632945,664.7648765296319
163,"Tartu, Tartu linn, Ränilinn, Kvartsi tn 7",3,72.4 m²,240 000 €,0.0,-,3.96380986,0.0,0.0,1.0,0.0,100.0,1.0,40.0,26.683820601034856,58.34902085,4128.849414122349
164,"Tartu, Tartu linn, Annelinn, Jaama tn 191",3,65.5 m²,114 000 €,17.0,Baastase,18.87967104,4.0,6.0,8.0,7.0,91.0,0.90560164,40.0,26.7667575,58.377897,2614.4577088390974
165,"Tartu, Tartu linn, Ülejõe, Mäe tn 12  UUS HIND!",2,37 m²,55 000 €,45.0,Hea tase,57.91467079,2.0,3.0,11.0,33.0,42.0,0.42085329,45.0,26.72846324638488,58.385764,727.5989421384896
166,"Tartu, Tartu linn, Karlova, Turu tn 35a-7",2,35.8 m²,135 000 €,11.0,-,43.543711,2.0,0.0,3.0,8.0,100.0,1.0,60.0,26.739593237689395,58.3642895,2031.9838442748191
167,"Tartu, Tartu linn, Ülejõe, Ujula põik 8",2,41.1 m²,181 500 €,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,26.716017181226142,58.39051775,1216.6649246097
168,"Tartu, Tartu linn, Veeriku, Ravila tn 42",1,28.5 m²,76 000 €,7.0,Baastase,46.02029425,1.0,3.0,3.0,2.0,77.0,0.76989853,40.0,26.682000603780068,58.37565035,2407.5641005344246
169,"Tartu, Tartu linn, Ülejõe, Pikk tn 52 (Broneeritud)",3,48.6 m²,123 456 €,37.0,Hea tase,60.57732787,2.0,3.0,13.0,36.0,39.0,0.39422672,45.0,26.7367722,58.3818142,869.7563486404565
170,"Tartu, Annelinn, Kalda tee 28",3,57.7 m²,79 900 €,14.0,Baastase,36.7939511,4.0,6.0,8.0,5.0,82.0,0.81603024,55.0,26.76469315909091,58.3718615,2646.5213173447823
171,"Tartu, Tartu linn, Variku, Timuti tn 5",6,106.9 m²,205 000 €,3.0,-,22.06548205,1.0,0.0,1.0,0.0,100.0,1.0,40.0,26.70883650092521,58.3480642,3653.819824819887
172,"Tartu, Tartu linn, Raadi-Kruusamäe, Raadi, Tila, Vahi, Tartu, Pärna allee 10-1",2,63.1 m²,138 900 €,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.17695630081301,26.742212994238365,58.4058515,3096.459973687563
173,"Tartu, Tartu linn, Annelinn, Linnupargi, Ihaste põik 34",3,54.1 m²,179 750 €,4.0,-,21.56977877,0.0,0.0,4.0,1.0,100.0,1.0,55.0,26.76560428892131,58.3657251,2999.0388599550683
174,"Tartu, Tartu linn, Raadi-Kruusamäe, Vahi tn 64-10",3,63 m²,180 900 €,4.0,-,10.46764837,0.0,1.0,2.0,1.0,100.0,1.0,46.17695630081301,26.71622173694607,58.4020675,2472.302532685223
175,"Tartu, Tartu linn, Annelinn, Annelinn, Mõisavahe 35",3,65.5 m²,110 000 €,13.0,Baastase,35.92088439,2.0,6.0,6.0,7.0,82.0,0.82039558,46.17695630081301,26.776464916143016,58.372384,3285.5073111489264
176,"Tartu, Tartu linn, Annelinn, Jaama tn 185-34",2,45.9 m²,95 000 €,16.0,Baastase,18.87967104,4.0,5.0,6.0,5.0,91.0,0.90560164,45.0,26.7668995,58.37855,2616.903363650587
177,"Tartu, Tartu linn, Ülejõe, Jaama tn 77-35",2,49.4 m²,129 000 €,17.0,Baastase,56.17340191,2.0,2.0,8.0,10.0,72.0,0.71913299,46.17695630081301,26.741298702314943,58.3830475,1160.736569669743
178,"Tartu, Kesklinn, Jaama tn 52a",4,85 m²,309 900 €,14.0,Baastase,55.04044478,2.0,2.0,8.0,8.0,72.0,0.72479778,55.0,26.73952554529616,58.384876000000006,1141.1673259187103
179,"Tartu, Tartu linn, Annelinn, Kaunase pst 8",2,45.8 m²,77 900 €,11.0,Baastase,26.57337897,4.0,5.0,8.0,4.0,87.0,0.86713311,46.17695630081301,26.764325587234453,58.373299,2574.744304669411
180,"Tartu, Kesklinn, Kalevi 4",2,56.8 m²,159 000 €,111.0,Hea tase,85.38892806,3.0,5.0,11.0,143.0,15.0,0.14611072,55.0,26.732903680558792,58.3721019,1086.6534445186555
181,"Tartu, Tartu linn, Annelinn, Kalda tee 20",2,38.4 m²,99 900 €,23.0,Baastase,55.04899081,4.0,5.0,8.0,13.0,72.0,0.72475505,55.0,26.760426380769232,58.3723975,2391.830728189507
182,"Tartu, Tartu linn, Karlova, Tähe tn 91",2,42 m²,114 000 €,10.0,Baastase,58.7244507,1.0,1.0,5.0,6.0,71.0,0.70637775,60.0,26.7303745983765,58.362628,2003.0481377205533
183,"Tartu, Tartu linn, Annelinn, Annelinn, Anne 59",3,67 m²,109 970 €,23.0,Hea tase,35.91683709,5.0,4.0,9.0,14.0,64.0,0.64083163,46.17695630081301,26.75751644500881,58.37470295,2148.1658622888594
184,"Tartu, Tartu linn, Annelinn, Sõpruse pst 8 (Broneeritud)",3,58.8 m²,112 900 €,31.0,Hea tase,55.41448572,3.0,2.0,7.0,17.0,45.0,0.44585514,50.0,26.751839050023257,58.37666545,1771.901813835026
185,"Tartu, Tartu linn, Karlova, Siili tn 2",3,61.3 m²,223 000 €,9.0,-,25.22853671,1.0,0.0,3.0,7.0,100.0,1.0,50.0,26.747158826320323,58.3673883,2031.2441517317575
186,"Tartu, Tartu linn, Annelinn, Anne 86",2,45.8 m²,89 900 €,24.0,Baastase,27.4088077,4.0,6.0,9.0,11.0,86.0,0.86295596,46.17695630081301,26.76363641747573,58.376976,2445.22725740933
187,"Tartu, Tartu linn, Raadi-Kruusamäe, Kummeli 20a",4,97.4 m²,240 000 €,4.0,-,10.50268771,0.0,1.0,2.0,1.0,100.0,1.0,40.0,26.7196761999163,58.40164425,2404.5194249679566
188,"Tartu, Tartu linn, Raadi-Kruusamäe, Kaupmehe 15",2,58.1 m²,142 000 €,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.17695630081301,26.743775723973727,58.40613225,3160.694299848291
189,"Tartu, Tartu linn, Kesklinn, Riia kvartal, Riia tn 20a",3,63.6 m²,265 000 €,47.0,Hea tase,79.93601388,3.0,7.0,9.0,52.0,20.0,0.20063986,46.17695630081301,26.718721680083657,58.372189000000006,905.2280112187636
190,"Tartu, Ülejõe, Staadioni 3",1,32.3 m²,125 750 €,37.0,Hea tase,58.68464216,2.0,3.0,8.0,21.0,41.0,0.41315358,50.0,26.726606000000007,58.388360000000006,954.4244478621505
191,"Tartu, Tartu linn, Karlova, Kesk 7",1,16 m²,63 900 €,23.0,Hea tase,62.87794972,2.0,3.0,5.0,18.0,37.0,0.3712205,50.0,26.725015411370265,58.368723,1277.333828628618
192,"Tartu, Tartu linn, Ihaste, Krookuse tn 2",4,99.6 m²,219 000 €,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,26.768452237759764,58.3550142,3887.549280132763
193,"Tartu, Tartu linn, Annelinn, Kaunase pst 52",3,63 m²,115 000 €,14.0,Baastase,35.08545566,3.0,5.0,6.0,5.0,82.0,0.82457272,46.17695630081301,26.76996108,58.372815,2906.122064654047
194,"Tartu, Tartu linn, Annelinn, Jaama 181",3,68.4 m²,89 900 €,16.0,Baastase,18.87967104,4.0,5.0,7.0,6.0,91.0,0.90560164,46.17695630081301,26.76521729438267,58.3782858,2520.903545229299
195,"Tartu, Tartu linn, Ülejõe, Ujula tn 81-12",3,53.4 m²,269 000 €,1.0,-,20.84859687,0.0,0.0,1.0,1.0,100.0,1.0,50.0,26.71172565,58.39396955,1663.423560854581
196,"Tartu, Tartu linn, Kesklinn, Jakobi 25",3,75.4 m²,202 500 €,62.0,Hea tase,50.46555914,2.0,3.0,7.0,84.0,50.0,0.49534441,50.0,26.71381880993346,58.3827934,578.2508537953062
197,"Tartu, Tartu linn, Kesklinn, Kroonuaia tn 31-6",3,69.4 m²,320 000 €,70.0,Hea tase,57.20427748,1.0,3.0,8.0,81.0,43.0,0.42795723,55.0,26.71847625036414,58.38437345,525.1873599687011
198,"Tartu, Tartu linn, Raadi-Kruusamäe, Raadiraja tn 12-8",2,45.9 m²,148 900 €,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.17695630081301,26.75054107562552,58.39220170178444,2133.5787409981417
199,"Tartu, Ülejõe, Pikk tn 82",2,43.1 m²,110 000 €,31.0,Hea tase,57.5916142,3.0,1.0,14.0,25.0,42.0,0.42408386,50.0,26.74207943617021,58.378838,1167.559582190775
200,"Tartu, Tartu linn, Kesklinn, Kivi tn 21 (Broneeritud)",2,49.2 m²,122 000 €,77.0,Hea tase,60.63618404,2.0,2.0,10.0,91.0,39.0,0.39363816,45.0,26.73052891434944,58.3828279,570.8728232252552
201,"Tartu, Tartu linn, Ränilinn, Kvartsi tn 11-39",3,58 m²,190 000 €,1.0,-,7.72686664,0.0,1.0,2.0,0.0,100.0,1.0,40.0,26.6827831263416,58.34859615,4201.689819165742
202,"Tartu, Tartu linn, Ropka, Ülenurme alevik, Paruni 17-5/2",2,58.9 m²,129 900 €,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.17695630081301,26.726845007372408,58.3106543,7739.722994016973
203,"Tartu, Tartu linn, Veeriku, Ravila tn 56",4,76.6 m²,154 000 €,7.0,Baastase,56.03468641,1.0,3.0,4.0,3.0,72.0,0.71982657,45.0,26.681122232259952,58.3768088,2435.1045151916364
204,"Tartu, Tartu linn, Ülejõe, Uus tn 27",2,41.4 m²,109 000 €,22.0,Baastase,58.28374794,2.0,1.0,12.0,13.0,71.0,0.70858126,50.0,26.74025767022593,58.3815954,1065.5517234231445
205,"Tartu, Tartu linn, Annelinn, Kaunase pst 61-29",2,46.3 m²,74 800 €,15.0,Baastase,30.63031963,3.0,6.0,6.0,8.0,85.0,0.8468484,46.17695630081301,26.772467806979225,58.3721965,3066.3230445355075
206,"Tartu, Tartu linn, Annelinn, Mõisavahe tn 46",3,65.2 m²,120 000 €,11.0,Baastase,35.74140689,2.0,4.0,6.0,8.0,82.0,0.82129297,45.0,26.7794685,58.3736045,3424.1034430274713
207,"Tartu, Tartu linn, Jaamamõisa, Lääne tn 2",1,33.7 m²,88 800 €,15.0,Baastase,50.90087685,3.0,1.0,4.0,8.0,75.0,0.74549562,40.0,26.458004735766373,58.43920636988412,16792.1859558435
208,"Tartu, Tartu linn, Kesklinn, Pepleri tn 34 (Broneeritud)",1,15 m²,89 000 €,65.0,Hea tase,81.05778742,3.0,9.0,9.0,75.0,19.0,0.18942213,65.0,26.720354865920708,58.37336895,758.006672641755
209,"Tartu, Tartu linn, Karlova, Kesk tn 16-6",2,32 m²,108 000 €,22.0,Hea tase,63.68107591,2.0,3.0,8.0,19.0,36.0,0.36318924,45.0,26.725406729946044,58.36959815,1184.0291123228508
211,"Tartu, Tartu linn, Karlova, Kesk tn 19 (Broneeritud)",3,64 m²,159 900 €,18.0,Baastase,57.61857742,3.0,1.0,4.0,14.0,71.0,0.71190711,45.0,26.725298384408603,58.366948,1475.5773305189698
212,"Tartu, Tartu linn, Raadi-Kruusamäe, Erminurme tee 22-3",4,91.3 m²,256 900 €,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.17695630081301,26.752531608695023,58.39924085879738,2771.053520902478
213,"Tartu, Tartu linn, Ropka, Ropka mõis, Ropka tee 6-3",2,44.2 m²,114 000 €,6.0,Baastase,39.822968,1.0,4.0,4.0,8.0,80.0,0.80088516,46.17695630081301,26.73200037184116,58.3545045,2907.234148540463
214,"Tartu, Tartu linn, Veeriku, Ilmatsalu tn 46",4,78.2 m²,171 000 €,16.0,Baastase,55.35146744,1.0,3.0,4.0,5.0,72.0,0.72324266,50.0,26.68545789962577,58.37752375,2172.6946940418256
215,"Tartu, Tartu linn, Kesklinn, Veski 24a",3,94.6 m²,237 000 €,42.0,Baastase,55.76342753,3.0,6.0,4.0,32.0,72.0,0.72118286,46.17695630081301,26.5248306,58.27712735,16289.974319261333
216,"Tartu, Tartu linn, Veeriku, Veeriku tn 14",1,30.1 m²,72 000 €,24.0,Baastase,46.89842593,1.0,4.0,3.0,5.0,77.0,0.76550787,40.0,26.68959775,58.37488975,1997.6704999432327
217,"Tartu, Tartu linn, Raadi-Kruusamäe, Vahi tn 64-8",3,75.4 m²,199 900 €,4.0,-,10.46764837,0.0,1.0,2.0,1.0,100.0,1.0,46.17695630081301,26.71622173694607,58.4020675,2472.302532685223
218,"Tartu, Tartu linn, Karlova, Kalevi tn 60-16",2,52.7 m²,149 900 €,11.0,Baastase,59.6104143,1.0,3.0,11.0,13.0,70.0,0.70194793,45.0,26.734756208034696,58.37003205,1338.4360311369676
219,"Tartu, Tartu linn, Ropka, HEA PAKKUMINE!, Aardla 9a  UUS HIND!",3,61.3 m²,103 000 €,4.0,Baastase,64.595214,2.0,5.0,4.0,9.0,68.0,0.67702393,45.0,26.72763508444169,58.356195,2681.05953297011
220,"Tartu, Tartu linn, Ropka, Ropka 15A-39",3,62.3 m²,128 000 €,4.0,Baastase,60.50196532,2.0,4.0,4.0,8.0,70.0,0.69749017,46.17695630081301,26.726130394635,58.3573626,2542.61214429773
221,"Tartu, Tartu linn, Tammelinn, Savi tn 8-12",4,77.7 m²,183 000 €,5.0,-,37.86653336,0.0,1.0,2.0,1.0,100.0,1.0,40.0,26.69247421317892,58.3574685,3065.0488426460465
222,"Tartu, Tartu linn, Tammelinn, Haki tn 6-6",4,86 m²,240 000 €,4.0,-,31.99686556,0.0,1.0,2.0,1.0,100.0,1.0,45.0,26.68885521067546,58.35674295,3254.5388085899995
223,"Tartu, Tartu linn, Raadi-Kruusamäe, Kummeli tn 12",3,74.8 m²,156 900 €,4.0,-,10.46764837,0.0,1.0,2.0,2.0,100.0,1.0,46.17695630081301,26.71782616240785,58.40112055,2355.773668797729
224,"Tartu, Tartu linn, Annelinn, Jaama 189",3,65.5 m²,125 000 €,16.0,Baastase,18.04424231,4.0,5.0,8.0,6.0,91.0,0.90977879,46.17695630081301,26.76591852329645,58.377764,2567.0563959124497
225,"Tartu, Tartu linn, Annelinn, Kalda tee 28",1,27 m²,69 900 €,14.0,Baastase,36.7939511,4.0,6.0,8.0,5.0,82.0,0.81603024,55.0,26.76469315909091,58.3718615,2646.5213173447823
226,"Tartu, Tartu linn, Ülejõe, Ujula põik 6-1",1,31.9 m²,144 500 €,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,26.715625588610315,58.390671350000005,1239.979435023271
227,"Tartu, Tartu linn, Karlova, Raua 15B-8",3,94.5 m²,255 000 €,12.0,-,49.39507545,2.0,0.0,4.0,5.0,100.0,1.0,45.0,26.736033275838462,58.363833,1982.833715183735
228,"Tartu, Tartu linn, Annelinn, Jaama 179",2,45.7 m²,85 000 €,16.0,Baastase,31.21816135,4.0,6.0,6.0,7.0,84.0,0.84390919,50.0,26.7670445,58.3792,2621.579906837425
229,"Tartu, Tartu linn, Tähtvere, C. R. Jakobsoni tn 18",2,46.3 m²,126 000 €,10.0,Baastase,49.91118357,2.0,2.0,3.0,6.0,75.0,0.75044408,46.17695630081301,26.70294051667312,58.3818991,1148.366905165284
230,"Tartu, Tartu linn, Kesklinn, Lai tn 29",2,32 m²,135 000 €,96.0,Hea tase,69.59967231,1.0,4.0,10.0,114.0,30.0,0.30400328,60.0,26.720007314240007,58.38344815,395.7310290542067
231,"Tartu, Tartu linn, Karlova, Tähe tn 87  UUS HIND!",3,62.8 m²,172 000 €,14.0,Baastase,59.01458889,2.0,1.0,5.0,10.0,70.0,0.70492706,45.0,26.729633012750835,58.3638795,1857.3597546328974
232,"Tartu, Tartu linn, Veeriku, Näituse tn 36-15",6,112.9 m²,50 000 €,24.0,Baastase,61.27337757,2.0,3.0,3.0,7.0,69.0,0.69363311,60.0,26.698255268360672,58.3758854,1481.3029538389333
233,"Tartu, Tartu linn, Karlova, Kuu 19",2,53.9 m²,69 000 €,14.0,Baastase,58.66414684,2.0,1.0,5.0,14.0,71.0,0.70667927,45.0,26.728982710915616,58.3666645,1547.18255780175
234,"Tartu, Tartu linn, Jaamamõisa, Lääne tn 14-2",2,45.2 m²,130 990 €,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.17695630081301,26.75334588,58.3859385,1930.8669011283564
235,"Tartu, Tartu linn, Karlova, Siili tn 10-25",2,46.8 m²,160 000 €,8.0,-,24.62254439,0.0,0.0,3.0,5.0,100.0,1.0,46.17695630081301,26.61868824516432,58.325984000000005,8550.508831046218
236,"Tartu, Tartu linn, Ülejõe, Jaama tn 65",3,77.9 m²,148 000 €,15.0,Baastase,57.80482832,2.0,2.0,9.0,8.0,71.0,0.71097586,55.0,26.73976944767442,58.3841255,1117.7391750657796
237,"Tartu, Tartu linn, Annelinn, Kaunase pst 39",4,76.4 m²,99 500 €,16.0,Baastase,35.74140689,4.0,6.0,8.0,7.0,82.0,0.82129297,40.0,26.76984585427148,58.3732217,2887.284866871067
238,"Tartu, Tartu linn, Annelinn, Mõisavahe tn 20",2,45.6 m²,84 000 €,15.0,Baastase,36.7939511,2.0,4.0,6.0,8.0,82.0,0.81603024,40.0,26.775414179803818,58.371088,3267.678996287995
239,"Tartu, Tartu linn, Kesklinn, Raekoja plats 11",2,53.9 m²,235 000 €,131.0,Hea tase,71.20219065,3.0,3.0,11.0,149.0,29.0,0.28797809,40.0,26.72391762173748,58.3801384,96.59161384321806
240,"Tartu, Tartu linn, Raadi-Kruusamäe, Raadiraja tn 12-21",4,84.1 m²,239 900 €,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.17695630081301,26.75054107562552,58.39220170178444,2133.5787409981417
241,"Tartu, Annelinn, Salu tee 59",2,43.7 m²,105 000 €,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.17695630081301,26.780158600000007,58.38193095,3392.9196722303373
242,"Tartu, Tartu linn, Ränilinn, Kvartsi tn 8",3,67.8 m²,194 000 €,0.0,-,3.96380986,0.0,0.0,1.0,0.0,100.0,1.0,45.0,26.685496600000004,58.348862,4091.25184099526
243,"Tartu, Tartu linn, Karlova, Tolstoi 22-3",1,29.9 m²,79 000 €,9.0,Baastase,59.6104143,1.0,2.0,7.0,13.0,70.0,0.70194793,46.17695630081301,26.73353859527311,58.36955115,1347.3576986392402
